fiber_no_support,poly_MonthlyCharges_service_adoption_score,total_charge_percentile,TotalCharges,MonthlyCharges,fiber_no_security,is_early_customer,has_fiber,charge_per_month,uses_electronic,paperless_no_auto,is_veteran_customer,is_loyal_customer,poly_service_adoption_score_charge_per_service,no_internet,is_low_charger,senior_month_to_month,service_adoption_pct,has_partner,has_auto_pay,is_one_year,Partner,young_family,service_adoption_score,PaperlessBilling,TechSupport,senior_alone,revenue_efficiency,has_family,trend_switch_carrier,OnlineSecurity,charge_above_median,SeniorCitizen,is_senior,has_dependents,is_single_service,Dependents,security_bundle,Churn_binary
0,29.85,0.028680959818259265,29.85,29.85,0,1,0,14.925,1,1,0,0,14.925,0,1,0,0.16666666666666666,1,0,0,1,1,1,1,0,0,0.9675850891410048,1,60.41,0,0,0,0,0,1,0,1,0
0,113.9,0.5825642481896919,1889.5,56.95,0,0,0,53.98571428571429,0,0,0,0,37.96666666666667,0,0,0,0.3333333333333333,0,0,1,0,0,2,0,0,0,0.9753264853146131,0,60.41,1,0,0,0,0,0,0,2,0
0,107.7,0.11955132755927872,108.15,53.85,0,1,0,36.050000000000004,0,1,0,0,35.9,0,0,0,0.3333333333333333,0,0,0,0,0,2,1,0,0,0.9949402023919044,0,60.41,1,0,0,0,0,0,0,2,1
0,126.89999999999999,0.5746130910123527,1840.75,42.3,0,0,0,40.016304347826086,0,0,0,0,31.724999999999998,0,0,0,0.5,0,1,1,0,0,3,0,1,0,0.9665266474140195,0,60.41,1,0,0,0,0,0,0,2,0
1,0.0,0.14127502484736618,151.65,70.7,1,1,1,50.550000000000004,1,1,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1.0649578651685394,0,60.41,0,1,0,0,0,1,0,0,1
1,298.95000000000005,0.36816697430072415,820.5,99.65,0,1,1,91.16666666666667,1,1,0,0,74.73750000000001,0,0,0,0.5,0,0,0,0,0,3,1,0,0,1.0279378601854172,0,60.41,0,1,0,0,0,0,0,1,1
1,178.2,0.5895215107198637,1949.4,89.1,0,0,1,84.75652173913043,0,0,0,0,59.4,0,0,0,0.3333333333333333,0,1,0,0,1,2,1,0,0,0.9939832755455845,1,60.41,0,1,0,0,1,0,1,1,0
0,29.75,0.21397131904018174,301.9,29.75,0,1,0,27.44545454545454,0,0,0,0,14.875,0,1,0,0.16666666666666666,0,0,0,0,0,1,0,0,0,1.0113902847571188,0,60.41,1,0,0,0,0,1,0,1,0
0,419.2,0.6926025841260827,3046.05,104.8,0,0,1,105.03620689655173,1,1,0,0,83.84,0,0,0,0.6666666666666666,1,0,0,1,1,4,1,1,0,1.0376950330449002,1,60.41,0,1,0,0,0,0,0,1,1
0,112.3,0.7282408064745137,3487.95,56.15,0,0,0,55.364285714285714,0,0,1,1,37.43333333333333,0,0,0,0.3333333333333333,0,1,1,0,1,2,0,0,0,1.0016224908824627,1,60.41,1,0,0,0,1,0,1,2,0
0,49.95,0.3099531449666335,587.45,49.95,0,0,0,41.96071428571429,0,1,0,0,24.975,0,0,0,0.16666666666666666,1,0,0,1,1,1,1,0,0,0.9032828476973938,1,60.41,1,0,0,0,1,1,1,1,0
