tenure,Churn_binary,MonthlyCharges,Contract,InternetService,is_month_to_month,is_new_customer,is_high_charger,service_adoption_score,base_risk_score,advanced_risk_score,has_fiber,fiber_no_security,charge_per_service
1,0,29.85,Month-to-month,DSL,1,1,0,1,8,9.0,0,0,14.925
34,0,56.95,One year,DSL,0,0,0,2,1,1.0,0,0,18.983333333333334
2,1,53.85,Month-to-month,DSL,1,1,0,2,6,7.0,0,0,17.95
45,0,42.3,One year,DSL,0,0,0,3,0,0.0,0,0,10.575
2,1,70.7,Month-to-month,Fiber optic,1,1,0,0,8,11.0,1,1,70.7
8,1,99.65,Month-to-month,Fiber optic,1,0,1,3,5,7.5,1,0,24.9125
22,0,89.1,Month-to-month,Fiber optic,1,0,0,2,3,3.0,1,0,29.7
10,0,29.75,Month-to-month,DSL,1,0,0,1,6,6.0,0,0,14.875
28,1,104.8,Month-to-month,Fiber optic,1,0,1,4,5,7.5,1,0,20.96
62,0,56.15,One year,DSL,0,0,0,2,0,0.0,0,0,18.716666666666665
13,0,49.95,Month-to-month,DSL,1,0,0,1,6,7.0,0,0,24.975
16,0,18.95,Two year,No,0,0,0,0,2,2.0,0,0,18.95
58,0,100.35,One year,Fiber optic,0,0,1,3,1,2.5,1,0,25.0875
49,1,103.7,Month-to-month,Fiber optic,1,0,1,4,4,5.5,1,0,20.740000000000002
25,0,105.5,Month-to-month,Fiber optic,1,0,1,5,5,7.5,1,0,17.583333333333332
69,0,113.25,Two year,Fiber optic,0,0,1,6,1,2.5,1,0,16.178571428571427
52,0,20.65,One year,No,0,0,0,0,3,3.0,0,0,20.65
71,0,106.7,Two year,Fiber optic,0,0,1,4,1,2.5,1,0,21.34
10,1,55.2,Month-to-month,DSL,1,0,0,2,3,3.0,0,0,18.400000000000002
21,0,90.05,Month-to-month,Fiber optic,1,0,1,3,5,7.5,1,0,22.5125
1,1,39.65,Month-to-month,DSL,1,1,0,2,6,8.5,0,0,13.216666666666667
12,0,19.8,One year,No,0,0,0,0,2,2.0,0,0,19.8
1,1,20.15,Month-to-month,No,1,1,0,0,8,8.0,0,0,20.15
58,0,59.9,Two year,DSL,0,0,0,2,0,0.0,0,0,19.966666666666665
49,0,59.6,Month-to-month,DSL,1,0,0,3,3,3.0,0,0,14.9
30,0,55.3,Month-to-month,DSL,1,0,0,2,3,3.0,0,0,18.433333333333334
47,1,99.35,Month-to-month,Fiber optic,1,0,1,3,5,7.5,1,0,24.8375
1,1,30.2,Month-to-month,DSL,1,1,0,1,8,8.0,0,0,15.1
72,0,90.25,Two year,DSL,0,0,1,6,1,1.0,0,0,12.892857142857142
17,1,64.7,Month-to-month,DSL,1,0,0,2,4,5.0,0,0,21.566666666666666
71,0,96.35,Two year,Fiber optic,0,0,1,4,1,2.5,1,0,19.27
2,0,95.5,Month-to-month,Fiber optic,1,1,1,3,6,9.0,1,0,23.875
27,0,66.15,One year,DSL,0,0,0,4,1,1.0,0,0,13.23
1,0,20.2,Month-to-month,No,1,1,0,0,7,7.0,0,0,20.2
1,0,45.25,Month-to-month,DSL,1,1,0,0,7,8.5,0,0,45.25
72,0,99.9,Two year,Fiber optic,0,0,1,4,1,2.5,1,0,19.98
5,1,69.7,Month-to-month,Fiber optic,1,1,0,0,8,11.0,1,1,69.7
46,0,74.8,Month-to-month,Fiber optic,1,0,0,1,5,5.0,1,0,37.4
34,1,106.35,Month-to-month,Fiber optic,1,0,1,4,5,7.5,1,0,21.27
11,1,97.85,Month-to-month,Fiber optic,1,0,1,3,4,5.5,1,0,24.4625
10,0,49.55,One year,DSL,0,0,0,1,3,3.0,0,0,24.775
70,0,69.2,Two year,DSL,0,0,0,3,0,0.0,0,0,17.3
17,0,20.75,One year,No,0,0,0,0,3,3.0,0,0,20.75
63,0,79.85,Two year,DSL,0,0,0,5,0,0.0,0,0,13.308333333333332
13,0,76.2,Month-to-month,DSL,1,0,0,4,4,5.0,0,0,15.24
49,0,84.5,Month-to-month,Fiber optic,1,0,0,1,6,9.0,1,1,42.25
2,0,49.25,Month-to-month,DSL,1,1,0,1,8,8.0,0,0,24.625
2,1,80.65,Month-to-month,Fiber optic,1,1,0,1,8,11.0,1,1,40.325
52,0,79.75,Two year,DSL,0,0,0,4,0,0.0,0,0,15.95
69,0,64.15,Two year,DSL,0,0,0,3,0,0.0,0,0,16.0375
43,0,90.25,Month-to-month,Fiber optic,1,0,1,2,5,9.0,1,0,30.083333333333332
15,1,99.1,Month-to-month,Fiber optic,1,0,1,4,4,5.5,1,0,19.82
25,0,69.5,Month-to-month,DSL,1,0,0,3,3,4.5,0,0,17.375
8,1,80.65,Month-to-month,Fiber optic,1,0,0,1,5,6.5,1,0,40.325
