customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_binary,charge_per_month,charge_to_monthly_ratio,monthly_charge_percentile,total_charge_percentile,is_high_charger,is_low_charger,charge_above_median,monthly_to_total_ratio,expected_lifetime_value,actual_vs_expected_clv,charge_trend,revenue_efficiency,tenure_squared,tenure_log,is_new_customer,is_early_customer,is_loyal_customer,is_veteran_customer,tenure_bucket,months_remaining_1yr,months_remaining_2yr,contract_age_ratio,service_adoption_score,service_adoption_pct,is_single_service,is_full_service,security_bundle,entertainment_bundle,support_bundle,has_any_security,has_entertainment,services_per_dollar,charge_per_service,is_month_to_month,is_one_year,is_two_year,has_auto_pay,uses_electronic,uses_mailed_check,paperless_no_auto,contract_risk_score,has_fiber,has_dsl,no_internet,fiber_no_security,fiber_no_support,fiber_high_charge,is_senior,has_partner,has_dependents,has_family,senior_alone,young_family,senior_month_to_month,base_risk_score,advanced_risk_score,clv_at_risk,poly_tenure_MonthlyCharges,poly_tenure_service_adoption_score,poly_tenure_base_risk_score,poly_tenure_charge_per_service,poly_MonthlyCharges_service_adoption_score,poly_MonthlyCharges_base_risk_score,poly_MonthlyCharges_charge_per_service,poly_service_adoption_score_base_risk_score,poly_service_adoption_score_charge_per_service,poly_base_risk_score_charge_per_service,macro_gdp_growth,macro_inflation,macro_unemployment,macro_gni_per_capita,trend_churn_intent,trend_switch_carrier,trend_churn_velocity,macro_telecom_sector,macro_stress_index,macro_consumer_pressure
7590-VHVEG,Female,0,1,0,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,29.85,No,0,14.925,0.4917627677100494,0.23377821950873207,0.028680959818259265,0,1,0,0.9675850891410048,716.4000000000001,0.04160858656258712,1.8744113029827316,0.9675850891410048,1,0.6931471805599453,1,1,0,0,1.0,11,23,0.041666666666666664,1,0.16666666666666666,1,0,1,0,0,1,0,0.03241491085899514,14.925,1,0,0,0,1,0,1,5,0,1,0,0,0,0,0,1,0,1,0,1,0,8,9.0,322.38,29.85,1.0,8.0,14.925,29.85,238.8,445.51125,8.0,14.925,119.4,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
5575-GNVDE,Male,0,0,0,34,1,No,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.95,1889.5,No,0,53.98571428571429,0.9474739877146797,0.3941502200766719,0.5825642481896919,0,0,0,0.03012430573922243,1366.8000000000002,1.3814154116098842,1.035723564562224,0.9753264853146131,1156,3.5553480614894135,0,0,0,0,4.0,0,0,1.4166666666666667,2,0.3333333333333333,0,0,2,0,1,1,0,0.03451251078515962,18.983333333333334,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,68.34,1936.3000000000002,68.0,34.0,645.4333333333334,113.9,56.95,1081.1008333333334,2.0,37.96666666666667,18.983333333333334,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
3668-QPYBK,Male,0,0,0,2,1,No,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,Yes,1,36.050000000000004,0.6653337434635497,0.35517535141275025,0.11955132755927872,0,0,0,0.4933577645442052,1292.4,0.08361682387505799,1.4534412955465585,0.9949402023919044,4,1.0986122886681098,1,1,0,0,1.0,10,22,0.08333333333333333,2,0.3333333333333333,0,0,2,0,0,1,0,0.03646308113035551,17.95,1,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.0,452.34000000000003,107.7,4.0,12.0,35.9,107.7,323.1,966.6075,12.0,35.9,107.69999999999999,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
7795-CFOCW,Male,0,0,0,45,0,No phone service,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,1840.75,No,0,40.016304347826086,0.9455259913704541,0.26835155473519806,0.5746130910123527,0,0,0,0.022967286548119994,1015.1999999999999,1.8114052351899235,1.0312972041870943,0.9665266474140195,2025,3.828641396489095,0,0,0,0,4.0,0,0,1.875,3,0.5,0,0,2,0,2,1,0,0.06928406466512703,10.575,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1903.4999999999998,135.0,0.0,475.87499999999994,126.89999999999999,0.0,447.32249999999993,0.0,31.724999999999998,0.0,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
9237-HQITU,Female,0,0,0,2,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,Yes,1,50.550000000000004,0.7116377287658376,0.5075961948033508,0.14127502484736618,0,0,1,0.46315099901735995,1696.8000000000002,0.08932147484980563,1.3714839961202716,1.0649578651685394,4,1.0986122886681098,1,1,0,0,1.0,10,22,0.08333333333333333,0,0.0,1,0,0,0,0,0,0,0.0,70.7,1,0,0,0,1,0,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0,8,11.0,933.2400000000001,141.4,0.0,16.0,141.4,0.0,565.6,4998.490000000001,0.0,0.0,565.6,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
9305-CDSKC,Female,0,0,0,8,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,Yes,1,91.16666666666667,0.9138497521857771,0.865824222632401,0.36816697430072415,1,0,1,0.12130249543517956,2391.6000000000004,0.34293237482236893,1.0811934900542495,1.0279378601854172,64,2.1972245773362196,0,1,0,0,2.0,4,16,0.3333333333333333,3,0.5,0,0,1,2,1,1,1,0.029806259314456036,24.9125,1,0,0,0,1,0,1,5,1,0,0,0,1,1,0,0,0,0,0,0,0,5,7.5,896.8500000000001,797.2,24.0,40.0,199.3,298.95000000000005,498.25,2482.5306250000003,15.0,74.73750000000001,124.5625,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
1452-KIOVK,Male,0,0,1,22,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,No,0,84.75652173913043,0.9507876896063993,0.7332102797103507,0.5895215107198637,0,0,1,0.04568293683347005,2138.3999999999996,0.9111900532859682,1.0389880348813627,0.9939832755455845,484,3.1354942159291497,0,0,0,0,3.0,0,2,0.9166666666666666,2,0.3333333333333333,0,0,1,1,0,1,1,0.022197558268590458,29.7,1,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1,1,0,1,0,3,3.0,320.75999999999993,1960.1999999999998,44.0,66.0,653.4,178.2,267.29999999999995,2646.27,6.0,59.4,89.1,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
6713-OKOMC,Female,0,0,0,10,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,301.9,No,0,27.44545454545454,0.9197258187357197,0.232713332386767,0.21397131904018174,0,1,0,0.09821723341036646,714.0,0.4222377622377622,1.04586129753915,1.0113902847571188,100,2.3978952727983707,0,1,0,0,2.0,2,14,0.4166666666666667,1,0.16666666666666666,1,0,1,0,0,1,0,0.032520325203252036,14.875,1,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6.0,214.2,297.5,10.0,60.0,148.75,29.75,178.5,442.53125,6.0,14.875,89.25,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
7892-POOKP,Female,0,1,0,28,1,Yes,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,Yes,1,105.03620689655173,1.0019242155121375,0.9231151497941218,0.6926025841260827,1,0,1,0.03439392199012159,2515.2,1.2105754709482555,0.9883416529812522,1.0376950330449002,784,3.367295829986474,0,0,0,0,4.0,0,0,1.1666666666666667,4,0.6666666666666666,0,0,1,2,2,1,1,0.03780718336483932,20.96,1,0,0,0,1,0,1,5,1,0,0,0,0,1,0,1,0,1,0,1,0,5,7.5,943.2,2934.4,112.0,140.0,586.88,419.2,524.0,2196.608,20.0,83.84,104.80000000000001,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
6388-TABGU,Male,0,0,1,62,1,No,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,3487.95,No,0,55.364285714285714,0.9857282143311337,0.3886128070424535,0.7282408064745137,0,0,0,0.01609366714914229,1347.6,2.5863488061693607,0.9961982004815613,1.0016224908824627,3844,4.143134726391533,0,0,1,1,5.0,0,0,2.5833333333333335,2,0.3333333333333333,0,0,2,0,0,1,0,0.03499562554680665,18.716666666666665,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,3481.2999999999997,124.0,0.0,1160.4333333333332,112.3,0.0,1050.940833333333,0.0,37.43333333333333,0.0,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
9763-GRSKD,Male,0,1,1,13,1,No,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,587.45,No,0,41.96071428571429,0.8388547765243467,0.3254295044725259,0.3099531449666335,0,0,0,0.0848840173336732,1198.8000000000002,0.4896232705450908,1.1626901654335355,0.9032828476973938,169,2.6390573296152584,0,0,0,0,3.0,0,11,0.5416666666666666,1,0.16666666666666666,1,0,1,0,0,1,0,0.01962708537782139,24.975,1,0,0,0,0,1,1,5,0,1,0,0,0,0,0,1,1,1,0,1,0,6,7.0,419.5800000000001,649.35,13.0,78.0,324.675,49.95,299.70000000000005,1247.5012500000003,6.0,24.975,149.85000000000002,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
7469-LKBCI,Male,0,0,0,16,1,No,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,No,0,19.223529411764705,1.0112950642116665,0.003336646315490558,0.22433622036064177,0,1,0,0.05780964002440512,454.79999999999995,0.7169811320754718,0.9370273414776032,1.074293228139382,256,2.833213344056216,0,0,0,0,3.0,0,8,0.6666666666666666,0,0.0,1,0,0,0,0,0,0,0.0,18.95,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2.0,45.48,303.2,0.0,32.0,303.2,0.0,37.9,359.10249999999996,0.0,0.0,37.9,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
8091-TTVAX,Male,0,1,0,58,1,Yes,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,No,0,96.28983050847458,0.9593778760987226,0.8783188981967911,0.8798807326423399,1,0,1,0.017660724028088205,2408.3999999999996,2.3578899311031796,1.0314541558509434,0.9759160325013315,3364,4.07753744390572,0,0,1,0,5.0,0,0,2.4166666666666665,3,0.5,0,0,1,2,1,1,1,0.02960039467192896,25.0875,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,2.5,301.04999999999995,5820.299999999999,174.0,58.0,1455.0749999999998,301.04999999999995,100.35,2517.530625,3.0,75.26249999999999,25.0875,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
0280-XJGEX,Male,0,0,0,49,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,Yes,1,100.726,0.9711338218279985,0.9068578730654551,0.841828766150788,1,0,1,0.020586425267504416,2488.8,2.022772913487027,1.0194050685173899,0.9909489797926135,2401,3.912023005428146,0,0,1,0,5.0,0,0,2.0416666666666665,4,0.6666666666666666,0,0,2,2,1,1,1,0.038204393505253106,20.740000000000002,1,0,0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,4,5.5,684.4200000000001,5081.3,196.0,196.0,1016.2600000000001,414.8,414.8,2150.7380000000003,16.0,82.96000000000001,82.96000000000001,2.793,2.95,4.198,83490,21.26,60.41,8.75,0.0,4.355,12.384100000000002
